0 0 0 0 
0 0 0 0 
0 0 -3.11159e-05 6.22317e-05 
-3.11159e-08 6.22317e-08 -9.33739e-05 0.000186748 
-1.2449e-07 2.4898e-07 -0.000186797 0.000373594 
-3.11287e-07 6.22573e-07 -0.000311407 0.000622807 
-6.22694e-07 1.24538e-06 -0.000467219 0.00093442 
-1.08991e-06 2.1798e-06 -0.00065425 0.00130846 
-1.74416e-06 3.48826e-06 -0.00087251 0.00174493 
-2.61667e-06 5.23319e-06 -0.00112201 0.00224386 
-3.73868e-06 7.47706e-06 -0.00140275 0.00280525 
-5.14143e-06 1.02823e-05 -0.00171474 0.00342908 
-6.85618e-06 1.37114e-05 -0.00205798 0.00411535 
-8.91415e-06 1.78267e-05 -0.00243246 0.00486405 
-1.13466e-05 2.26908e-05 -0.00283818 0.00567514 
-1.41848e-05 2.83659e-05 -0.00327513 0.00654859 
-1.74599e-05 3.49145e-05 -0.00374329 0.00748436 
-2.12032e-05 4.23989e-05 -0.00424266 0.00848241 
-2.54459e-05 5.08813e-05 -0.00477321 0.00954267 
-3.02191e-05 6.04239e-05 -0.00533491 0.0106651 
-3.5554e-05 7.1089e-05 -0.00592776 0.0118496 
-4.14818e-05 8.29386e-05 -0.00655171 0.0130961 
-4.80335e-05 9.60347e-05 -0.00720674 0.0144045 
-5.52402e-05 0.000110439 -0.00789281 0.0157748 
-6.3133e-05 0.000126214 -0.00860988 0.0172068 
-7.17429e-05 0.000143421 -0.00935792 0.0187004 
-8.11008e-05 0.000162121 -0.0101369 0.0202555 
-9.12377e-05 0.000182377 -0.0109467 0.0218719 
-0.000102184 0.000204249 -0.0117874 0.0235497 
-0.000113972 0.000227798 -0.0126588 0.0252885 
-0.000126631 0.000253087 -0.0135609 0.0270883 
-0.000140191 0.000280175 -0.0144937 0.0289489 
-0.000154685 0.000309124 -0.015457 0.0308701 
-0.000170142 0.000339994 -0.0164509 0.0328518 
-0.000186593 0.000372846 -0.0174752 0.0348938 
-0.000204068 0.00040774 -0.0185299 0.0369959 
-0.000222598 0.000444735 -0.0196149 0.0391579 
-0.000242213 0.000483893 -0.0207301 0.0413796 
-0.000262943 0.000525273 -0.0218755 0.0436608 
-0.000284819 0.000568934 -0.0230509 0.0460012 
-0.00030787 0.000614935 -0.0242562 0.0484007 
-0.000332126 0.000663336 -0.0254914 0.0508591 
-0.000357617 0.000714195 -0.0267564 0.053376 
